"Species","Season","Niche volume","Percent unique","Overlap","Centroid distance"
"Bay anchovy","Wet","3.03 (1.91-4.66)","0.33 (0.08-0.70)","0.11 (0.05-0.17)","1.74 (1.41-2.06)"
"Bay anchovy","Dry","34.02 (22.08-46.97)","0.94 (0.90-0.97)",,
"Mojarra","Wet","0.12 (0.07-0.18)","1.00 (1.00-1.00)","0.00 (0.00-0.00)","3.62 (3.49-3.76)"
"Mojarra","Dry","18.00 (11.85-24.10)","1.00 (1.00-1.00)",,
"Pigfish","Wet","0.89 (0.54-1.36)","1.00 (1.00-1.00)","0.00 (0.00-0.00)","2.92 (2.75-3.09)"
"Pigfish","Dry","43.59 (25.91-65.40)","1.00 (1.00-1.00)",,
"Pinfish","Wet","1.89 (1.27-2.74)","1.00 (1.00-1.00)","0.00 (0.00-0.00)","3.41 (3.28-3.52)"
"Pinfish","Dry","18.97 (11.25-27.11)","1.00 (1.00-1.00)",,
"Pink shrimp","Wet","0.80 (0.50-1.13)","1.00 (1.00-1.00)","0.00 (0.00-0.00)","3.96 (3.80-4.14)"
"Pink shrimp","Dry","34.41 (21.43-48.82)","1.00 (1.00-1.00)",,
"Rainwater killifish","Wet","6.42 (3.94-9.20)","0.57 (0.31-0.80)","0.14 (0.06-0.24)","1.63 (1.34-1.88)"
"Rainwater killifish","Dry","33.88 (22.45-48.93)","0.92 (0.85-0.97)",,
"Silver perch","Wet","37.27 (18.54-62.57)","0.64 (0.46-0.78)","0.38 (0.27-0.50)","1.31 (1.01-1.58)"
"Silver perch","Dry","30.82 (19.91-45.15)","0.57 (0.37-0.73)",,
