"Species","Season","Algae","Epiphytes","Mangrove","Seagrass"
"Bay anchovy","Wet","0.02 ± 0.02 (0.00-0.06)","0.30 ± 0.07 (0.15-0.42)","0.33 ± 0.02 (0.29-0.37)","0.35 ± 0.06 (0.24-0.48)"
"Bay anchovy","Dry","0.05 ± 0.03 (0.01-0.12)","0.34 ± 0.12 (0.16-0.61)","0.25 ± 0.05 (0.14-0.35)","0.35 ± 0.09 (0.16-0.52)"
"Mojarra","Wet","0.00 ± 0.00 (0.00-0.01)","0.04 ± 0.02 (0.01-0.08)","0.19 ± 0.02 (0.15-0.24)","0.76 ± 0.03 (0.70-0.82)"
"Mojarra","Dry","0.01 ± 0.01 (0.00-0.04)","0.60 ± 0.15 (0.33-0.90)","0.18 ± 0.05 (0.06-0.26)","0.21 ± 0.11 (0.02-0.44)"
"Pigfish","Wet","0.01 ± 0.01 (0.00-0.03)","0.08 ± 0.03 (0.02-0.15)","0.25 ± 0.03 (0.18-0.31)","0.66 ± 0.05 (0.57-0.76)"
"Pigfish","Dry","0.02 ± 0.02 (0.00-0.07)","0.52 ± 0.16 (0.22-0.84)","0.22 ± 0.05 (0.10-0.32)","0.23 ± 0.13 (0.03-0.50)"
"Pinfish","Wet","0.03 ± 0.02 (0.00-0.06)","0.10 ± 0.05 (0.01-0.20)","0.21 ± 0.02 (0.17-0.26)","0.66 ± 0.04 (0.57-0.74)"
"Pinfish","Dry","0.02 ± 0.02 (0.00-0.08)","0.62 ± 0.11 (0.36-0.82)","0.24 ± 0.05 (0.13-0.34)","0.12 ± 0.08 (0.01-0.31)"
"Pink shrimp","Wet","0.01 ± 0.01 (0.00-0.03)","0.05 ± 0.03 (0.01-0.11)","0.15 ± 0.04 (0.07-0.22)","0.80 ± 0.05 (0.70-0.89)"
"Pink shrimp","Dry","0.13 ± 0.04 (0.06-0.21)","0.13 ± 0.12 (0.02-0.40)","0.23 ± 0.04 (0.15-0.30)","0.51 ± 0.10 (0.28-0.65)"
"Rainwater killifish","Wet","0.02 ± 0.02 (0.00-0.06)","0.33 ± 0.09 (0.14-0.50)","0.19 ± 0.03 (0.14-0.24)","0.46 ± 0.08 (0.31-0.62)"
"Rainwater killifish","Dry","0.07 ± 0.03 (0.02-0.13)","0.39 ± 0.13 (0.18-0.70)","0.21 ± 0.04 (0.11-0.28)","0.33 ± 0.09 (0.14-0.50)"
"Silver perch","Wet","0.02 ± 0.02 (0.00-0.09)","0.54 ± 0.15 (0.17-0.80)","0.18 ± 0.04 (0.10-0.25)","0.26 ± 0.13 (0.04-0.56)"
"Silver perch","Dry","0.04 ± 0.03 (0.00-0.11)","0.40 ± 0.12 (0.19-0.67)","0.24 ± 0.04 (0.14-0.32)","0.31 ± 0.09 (0.14-0.49)"
