"Species 1","Species 2","Season","Overlap","Centroid distance"
"Bay anchovy","Mojarra","Wet","0.00 (0.00-0.00)","3.36 (3.22-3.53)"
"Bay anchovy","Mojarra","Dry","0.11 (0.05-0.18)","2.18 (1.92-2.46)"
"Bay anchovy","Pigfish","Wet","0.00 (0.00-0.00)","2.30 (2.12-2.46)"
"Bay anchovy","Pigfish","Dry","0.35 (0.26-0.44)","1.33 (1.09-1.67)"
"Bay anchovy","Pinfish","Wet","0.00 (0.00-0.00)","2.72 (2.56-2.86)"
"Bay anchovy","Pinfish","Dry","0.11 (0.03-0.21)","1.69 (1.51-1.90)"
"Bay anchovy","Pink shrimp","Wet","0.00 (0.00-0.00)","4.09 (3.95-4.25)"
"Bay anchovy","Pink shrimp","Dry","0.12 (0.05-0.21)","2.41 (2.10-2.69)"
"Bay anchovy","Rainwater killifish","Wet","0.00 (0.00-0.00)","2.64 (2.45-2.84)"
"Bay anchovy","Rainwater killifish","Dry","0.53 (0.43-0.62)","1.03 (0.77-1.35)"
"Bay anchovy","Silver perch","Wet","0.00 (0.00-0.01)","2.96 (2.76-3.20)"
"Bay anchovy","Silver perch","Dry","0.63 (0.53-0.73)","0.50 (0.26-0.75)"
"Mojarra","Pigfish","Wet","0.07 (0.02-0.13)","1.15 (0.96-1.33)"
"Mojarra","Pigfish","Dry","0.43 (0.31-0.55)","0.97 (0.58-1.25)"
"Mojarra","Pinfish","Wet","0.03 (0.00-0.06)","0.92 (0.78-1.05)"
"Mojarra","Pinfish","Dry","0.36 (0.26-0.46)","1.35 (0.99-1.65)"
"Mojarra","Pink shrimp","Wet","0.19 (0.11-0.28)","0.90 (0.64-1.14)"
"Mojarra","Pink shrimp","Dry","0.00 (0.00-0.00)","4.09 (3.91-4.29)"
"Mojarra","Rainwater killifish","Wet","0.00 (0.00-0.00)","1.97 (1.83-2.08)"
"Mojarra","Rainwater killifish","Dry","0.11 (0.04-0.20)","1.99 (1.73-2.26)"
"Mojarra","Silver perch","Wet","0.00 (0.00-0.00)","3.26 (3.12-3.43)"
"Mojarra","Silver perch","Dry","0.21 (0.11-0.29)","1.76 (1.47-2.05)"
"Pigfish","Pinfish","Wet","0.28 (0.19-0.38)","0.88 (0.70-1.06)"
"Pigfish","Pinfish","Dry","0.44 (0.31-0.57)","0.82 (0.57-1.13)"
"Pigfish","Pink shrimp","Wet","0.05 (0.00-0.11)","2.00 (1.78-2.25)"
"Pigfish","Pink shrimp","Dry","0.01 (0.00-0.03)","3.48 (3.24-3.72)"
"Pigfish","Rainwater killifish","Wet","0.00 (0.00-0.01)","1.90 (1.77-2.04)"
"Pigfish","Rainwater killifish","Dry","0.29 (0.18-0.42)","1.46 (1.14-1.75)"
"Pigfish","Silver perch","Wet","0.00 (0.00-0.00)","3.08 (2.93-3.27)"
"Pigfish","Silver perch","Dry","0.47 (0.36-0.57)","0.90 (0.61-1.20)"
"Pinfish","Pink shrimp","Wet","0.04 (0.00-0.10)","1.46 (1.26-1.71)"
"Pinfish","Pink shrimp","Dry","0.00 (0.00-0.00)","3.83 (3.62-4.02)"
"Pinfish","Rainwater killifish","Wet","0.02 (0.00-0.07)","1.49 (1.36-1.61)"
"Pinfish","Rainwater killifish","Dry","0.11 (0.04-0.21)","1.90 (1.60-2.16)"
"Pinfish","Silver perch","Wet","0.00 (0.00-0.01)","2.73 (2.58-2.93)"
"Pinfish","Silver perch","Dry","0.21 (0.09-0.31)","1.33 (1.14-1.55)"
"Pink shrimp","Rainwater killifish","Wet","0.00 (0.00-0.00)","2.16 (1.98-2.30)"
"Pink shrimp","Rainwater killifish","Dry","0.15 (0.06-0.25)","2.14 (1.79-2.49)"
"Pink shrimp","Silver perch","Wet","0.00 (0.00-0.00)","3.35 (3.17-3.57)"
"Pink shrimp","Silver perch","Dry","0.06 (0.01-0.14)","2.76 (2.54-3.01)"
"Rainwater killifish","Silver perch","Wet","0.17 (0.09-0.29)","1.31 (1.11-1.54)"
"Rainwater killifish","Silver perch","Dry","0.52 (0.38-0.62)","1.03 (0.70-1.36)"
